target,temperature,dataset_path,submission_id,drafter_of_max_speedup,example_id_nunique,new_toks,ttft_ms,tpot_ms,out_toks_per_sec,speedup
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,No Drafter (Autoregressive),30,484.4,23.4,20.0,49.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,tau/scrolls,2025-02-05_03-44-45_d7c02fb,double7/vicuna-68m,26,436.6,850.8,48.0,20.7,1.08
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,tau/scrolls,2025-02-06_08-19-02_ab73cc7,No Drafter (Autoregressive),29,404.4,220.5,22.8,43.2,1.0
google/gemma-2-9b-it,0,cnn_dailymail,2025-02-06_06-38-32_e14af1d,double7/vicuna-68m,8,150.6,83.9,26.9,37.1,1.39
google/gemma-2-9b-it,0,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,double7/vicuna-68m,21,423.3,51.6,24.5,40.2,1.49
google/gemma-2-9b-it,0,tau/scrolls,2025-02-06_06-38-32_e14af1d,google/gemma-2-2b-it,16,469.4,739.0,31.3,30.2,3.05
google/gemma-2-9b-it,1,cnn_dailymail,2025-02-06_06-38-32_e14af1d,double7/vicuna-68m,8,165.5,100.1,30.0,33.2,1.26
google/gemma-2-9b-it,1,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,double7/vicuna-68m,21,373.0,92.8,25.1,39.2,1.46
google/gemma-2-9b-it,1,tau/scrolls,2025-02-06_06-38-32_e14af1d,google/gemma-2-2b-it,16,458.2,742.3,37.7,26.0,2.49
meta-llama/Llama-3.1-70B-Instruct,0,cnn_dailymail,2025-02-06_06-38-19_e14af1d,meta-llama/Llama-3.2-1B-Instruct,13,234.9,448.0,39.4,25.3,1.98
meta-llama/Llama-3.1-70B-Instruct,0,tau/scrolls,2025-02-06_06-38-19_e14af1d,meta-llama/Llama-3.2-1B-Instruct,22,292.6,1829.5,43.3,22.6,2.92
meta-llama/Llama-3.1-70B-Instruct,1,cnn_dailymail,2025-02-06_06-38-19_e14af1d,meta-llama/Llama-3.2-1B-Instruct,13,207.3,434.0,37.9,26.2,2.06
meta-llama/Llama-3.1-70B-Instruct,1,tau/scrolls,2025-02-06_06-38-19_e14af1d,meta-llama/Llama-3.2-1B-Instruct,22,250.7,1835.9,45.2,21.8,2.81
meta-llama/Llama-3.1-8B-Instruct,0,cnn_dailymail,2025-02-06_06-40-21_e14af1d,meta-llama/Llama-3.2-1B-Instruct,29,512.0,142.1,16.8,57.7,1.25
meta-llama/Llama-3.1-8B-Instruct,0,openai/openai_humaneval,2025-02-06_06-40-21_e14af1d,meta-llama/Llama-3.2-1B-Instruct,30,512.0,155.4,12.6,77.0,1.66
meta-llama/Llama-3.1-8B-Instruct,0,tau/scrolls,2025-02-06_06-40-21_e14af1d,meta-llama/Llama-3.2-1B-Instruct,30,510.7,277.6,20.0,48.9,1.8
meta-llama/Llama-3.1-8B-Instruct,1,cnn_dailymail,2025-02-06_06-40-21_e14af1d,double7/vicuna-68m,29,486.7,66.9,17.5,56.7,1.25
meta-llama/Llama-3.1-8B-Instruct,1,openai/openai_humaneval,2025-02-06_06-40-21_e14af1d,meta-llama/Llama-3.2-1B-Instruct,30,497.6,133.0,15.0,65.7,1.45
meta-llama/Llama-3.1-8B-Instruct,1,tau/scrolls,2025-02-06_06-40-21_e14af1d,meta-llama/Llama-3.2-1B-Instruct,30,475.2,278.6,19.3,51.1,1.89
microsoft/phi-4,0,tau/scrolls,2025-02-06_06-40-46_ea3ed4b,Qwen/Qwen2.5-0.5B-Instruct,17,469.9,481.3,32.7,29.1,1.83
microsoft/phi-4,0,tau/scrolls,2025-02-06_17-07-07_ab73cc7,Qwen/Qwen2.5-0.5B-Instruct,16,447.4,441.4,32.8,22.4,1.14
microsoft/phi-4,1,tau/scrolls,2025-02-06_06-40-46_ea3ed4b,Qwen/Qwen2.5-0.5B-Instruct,17,474.5,487.7,31.2,31.1,1.73
microsoft/phi-4,1,tau/scrolls,2025-02-06_17-07-07_ab73cc7,Qwen/Qwen2.5-0.5B-Instruct,16,484.2,448.8,31.3,31.5,1.62
mistralai/Mixtral-8x22B-Instruct-v0.1,0,cnn_dailymail,2025-02-06_06-42-07_ea3ed4b,double7/vicuna-68m,22,203.2,304.8,58.3,16.2,2.07
mistralai/Mixtral-8x22B-Instruct-v0.1,0,cnn_dailymail,2025-02-06_21-32-25_ab73cc7,double7/vicuna-68m,20,203.0,302.4,57.3,16.4,2.1
mistralai/Mixtral-8x22B-Instruct-v0.1,0,openai/openai_humaneval,2025-02-06_06-42-07_ea3ed4b,No Drafter (Autoregressive),21,330.0,214.8,127.4,7.8,1.0
mistralai/Mixtral-8x22B-Instruct-v0.1,0,openai/openai_humaneval,2025-02-06_21-32-25_ab73cc7,double7/vicuna-68m,10,345.5,231.5,73.3,12.6,1.61
mistralai/Mixtral-8x22B-Instruct-v0.1,0,tau/scrolls,2025-02-06_06-42-07_ea3ed4b,Qwen/Qwen2.5-0.5B-Instruct,27,182.7,1406.3,62.9,14.0,2.31
mistralai/Mixtral-8x22B-Instruct-v0.1,0,tau/scrolls,2025-02-06_21-32-25_ab73cc7,Qwen/Qwen2.5-0.5B-Instruct,25,189.8,1414.2,81.0,10.3,1.71
mistralai/Mixtral-8x22B-Instruct-v0.1,1,cnn_dailymail,2025-02-06_06-42-07_ea3ed4b,double7/vicuna-68m,22,205.8,295.6,80.1,12.3,1.57
mistralai/Mixtral-8x22B-Instruct-v0.1,1,cnn_dailymail,2025-02-06_21-32-25_ab73cc7,double7/vicuna-68m,20,203.2,297.3,81.0,11.9,1.53
mistralai/Mixtral-8x22B-Instruct-v0.1,1,openai/openai_humaneval,2025-02-06_21-32-25_ab73cc7,double7/vicuna-68m,10,324.1,228.5,74.8,13.0,1.67
mistralai/Mixtral-8x22B-Instruct-v0.1,1,tau/scrolls,2025-02-06_06-42-07_ea3ed4b,Qwen/Qwen2.5-0.5B-Instruct,27,257.3,1397.0,88.2,11.2,1.84
mistralai/Mixtral-8x22B-Instruct-v0.1,1,tau/scrolls,2025-02-06_21-32-25_ab73cc7,Qwen/Qwen2.5-0.5B-Instruct,25,236.4,1372.6,97.8,9.9,1.69
