target,dataset_path,submission_id,temperature,drafter,example_id_nunique,new_toks,ttft_ms,tpot_ms,out_toks_per_sec,speedup
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,29,456.2,348.0,58.5,16.9,1.33
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,504.9,303.5,60.2,16.5,1.29
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,double7/vicuna-68m,29,479.8,263.4,55.8,17.8,1.39
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,meta-llama/Llama-3.1-8B,29,465.3,262.3,59.6,16.7,1.31
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,meta-llama/Llama-3.2-1B,29,479.0,248.5,51.3,19.4,1.52
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,cnn_dailymail,2025-02-06_17-46-21_ab73cc7,1,meta-llama/Llama-3.2-3B,29,451.9,259.6,56.7,17.5,1.37
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,0,No Drafter (Autoregressive),30,512.0,297.1,122.6,8.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,0,bigcode/tiny_starcoder_py,30,512.0,265.9,84.6,11.8,1.44
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,0,codellama/CodeLlama-7b-Instruct-hf,30,512.0,428.7,101.5,9.6,1.18
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,353.5,54.3,18.3,2.25
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,1,No Drafter (Autoregressive),30,512.0,244.0,123.5,8.1,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,1,bigcode/tiny_starcoder_py,30,512.0,258.7,85.5,11.7,1.44
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,1,codellama/CodeLlama-7b-Instruct-hf,30,511.9,317.3,87.2,11.4,1.41
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_01-05-29_4c55336,1,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,358.2,53.1,18.6,2.3
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,0,No Drafter (Autoregressive),30,512.0,128.4,75.8,13.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,222.6,52.8,18.8,1.43
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,512.0,296.0,60.7,16.3,1.23
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,1,No Drafter (Autoregressive),30,512.0,128.2,76.3,13.1,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,1,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,182.2,44.4,22.4,1.71
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-04_20-52-14_eb664c5,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,512.0,218.6,46.2,21.5,1.64
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,0,No Drafter (Autoregressive),30,512.0,131.8,76.4,13.1,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,0,bigcode/tiny_starcoder_py,30,512.0,143.3,63.2,15.6,1.19
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,0,codellama/CodeLlama-7b-Instruct-hf,30,512.0,277.3,93.3,10.4,0.79
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,224.3,52.8,18.9,1.44
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,512.0,298.5,60.6,16.3,1.25
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,1,No Drafter (Autoregressive),30,512.0,131.5,77.2,13.0,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,1,bigcode/tiny_starcoder_py,30,512.0,147.9,55.3,18.0,1.39
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,1,codellama/CodeLlama-7b-Instruct-hf,30,512.0,214.5,68.8,14.5,1.12
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,512.0,177.2,44.7,22.3,1.72
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,openai/openai_humaneval,2025-02-06_16-28-26_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,512.0,222.3,44.7,22.3,1.72
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,tau/scrolls,2025-02-04_20-52-14_eb664c5,0,No Drafter (Autoregressive),30,469.1,1836.9,127.1,7.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,tau/scrolls,2025-02-04_20-52-14_eb664c5,0,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,465.2,2121.4,88.0,10.9,1.42
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,tau/scrolls,2025-02-04_20-52-14_eb664c5,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,464.4,1890.9,85.8,11.3,1.47
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,tau/scrolls,2025-02-04_20-52-14_eb664c5,1,No Drafter (Autoregressive),30,467.0,1837.1,126.6,7.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,tau/scrolls,2025-02-04_20-52-14_eb664c5,1,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,30,474.3,2059.4,65.1,15.2,1.98
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,tau/scrolls,2025-02-04_20-52-14_eb664c5,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,500.0,1898.5,70.9,13.9,1.82
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,0,No Drafter (Autoregressive),30,497.8,115.5,40.9,24.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,486.3,219.7,65.1,15.1,0.62
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,0,double7/vicuna-68m,30,492.9,175.8,31.3,31.5,1.29
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,0,meta-llama/Llama-3.2-1B,30,486.3,143.6,38.2,26.0,1.06
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,0,meta-llama/Llama-3.2-3B,30,492.2,168.5,54.3,18.2,0.75
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,1,No Drafter (Autoregressive),30,491.5,115.6,41.3,24.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,496.5,190.6,56.0,17.8,0.74
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,1,double7/vicuna-68m,30,477.0,150.2,33.8,29.5,1.22
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,1,meta-llama/Llama-3.2-1B,30,476.9,150.8,34.6,28.8,1.19
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-05_03-18-59_d7c02fb,1,meta-llama/Llama-3.2-3B,30,480.4,171.6,42.6,23.4,0.97
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,0,No Drafter (Autoregressive),30,493.4,38.9,21.8,45.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,492.9,88.2,43.2,22.7,0.5
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,0,double7/vicuna-68m,30,486.3,66.9,19.7,50.0,1.09
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,0,meta-llama/Llama-3.2-1B,30,486.2,48.2,25.6,38.6,0.84
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,0,meta-llama/Llama-3.2-3B,30,492.9,57.2,38.1,26.0,0.57
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,1,No Drafter (Autoregressive),30,463.2,39.6,22.3,44.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,468.4,93.4,31.9,31.1,0.69
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,1,double7/vicuna-68m,30,479.0,75.4,20.3,49.1,1.09
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,1,meta-llama/Llama-3.2-1B,30,483.7,51.8,22.6,44.2,0.98
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,cnn_dailymail,2025-02-06_17-06-51_ab73cc7,1,meta-llama/Llama-3.2-3B,30,469.1,60.2,29.2,34.2,0.76
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_02-07-38_ea3ed4b,0,No Drafter (Autoregressive),30,512.0,63.9,31.4,31.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_02-07-38_ea3ed4b,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,512.0,246.2,42.7,20.4,0.64
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_02-07-38_ea3ed4b,1,No Drafter (Autoregressive),30,506.8,63.2,29.5,33.5,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_02-07-38_ea3ed4b,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,512.0,145.8,35.7,26.0,0.78
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,0,No Drafter (Autoregressive),30,512.0,31.9,21.8,45.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,0,bigcode/tiny_starcoder_py,30,512.0,36.7,37.1,25.8,0.56
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,0,codellama/CodeLlama-7b-Instruct-hf,30,512.0,144.0,72.3,12.5,0.27
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,1,No Drafter (Autoregressive),30,512.0,31.2,22.3,44.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,1,bigcode/tiny_starcoder_py,30,512.0,43.5,23.6,42.1,0.94
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,openai/openai_humaneval,2025-02-06_16-26-53_ab73cc7,1,codellama/CodeLlama-7b-Instruct-hf,30,512.0,99.0,38.0,26.0,0.58
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,0,No Drafter (Autoregressive),30,483.2,853.9,70.2,13.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,476.0,1068.5,64.3,14.9,1.08
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,0,double7/vicuna-68m,30,479.0,901.3,49.4,19.8,1.43
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,0,meta-llama/Llama-3.2-1B,30,469.9,991.5,36.7,26.2,1.9
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,0,meta-llama/Llama-3.2-3B,30,480.1,1240.2,57.6,16.7,1.21
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,1,No Drafter (Autoregressive),30,479.3,855.3,70.0,13.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,499.1,1057.0,56.7,17.3,1.26
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,1,double7/vicuna-68m,30,475.6,867.1,51.9,19.0,1.38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,1,meta-llama/Llama-3.2-1B,30,476.6,1007.3,38.7,25.4,1.84
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-05_03-18-59_d7c02fb,1,meta-llama/Llama-3.2-3B,30,452.0,1239.0,51.8,19.1,1.38
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,0,No Drafter (Autoregressive),29,479.9,245.3,34.3,27.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,479.9,315.7,45.2,20.2,0.73
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,0,double7/vicuna-68m,29,478.4,263.4,27.7,34.9,1.25
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,0,meta-llama/Llama-3.2-1B,29,479.9,283.1,24.6,39.2,1.41
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,0,meta-llama/Llama-3.2-3B,29,470.0,353.1,35.2,27.3,0.98
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,1,No Drafter (Autoregressive),29,457.0,246.7,38.6,24.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,502.7,324.4,33.5,29.6,1.19
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,1,double7/vicuna-68m,29,448.2,256.5,28.1,34.5,1.39
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,1,meta-llama/Llama-3.2-1B,29,474.3,295.2,24.9,39.7,1.6
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,tau/scrolls,2025-02-06_17-06-51_ab73cc7,1,meta-llama/Llama-3.2-3B,29,458.3,355.9,31.7,31.2,1.25
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,0,No Drafter (Autoregressive),16,415.6,176.8,51.7,19.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16,415.6,287.5,69.9,14.1,0.73
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,0,double7/vicuna-68m,16,414.9,243.0,36.2,27.4,1.43
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,1,No Drafter (Autoregressive),16,364.2,176.1,54.4,18.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16,365.9,240.5,44.7,21.4,1.16
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_02-10-28_d8c80fe,1,double7/vicuna-68m,16,362.1,202.4,40.6,24.1,1.31
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,0,No Drafter (Autoregressive),18,379.2,66.9,33.7,29.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,18,386.3,114.1,51.0,19.4,0.65
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,0,double7/vicuna-68m,18,379.2,91.0,26.4,37.6,1.27
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,1,No Drafter (Autoregressive),18,385.2,67.0,34.1,29.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,18,428.6,118.8,36.7,27.1,0.92
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cnn_dailymail,2025-02-06_06-54-21_ab73cc7,1,double7/vicuna-68m,18,376.9,98.4,29.5,33.8,1.15
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,0,No Drafter (Autoregressive),30,451.6,91.2,48.7,20.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,0,bigcode/tiny_starcoder_py,30,454.2,113.5,43.9,22.4,1.1
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,0,codellama/CodeLlama-7b-Instruct-hf,30,455.6,257.3,77.9,12.3,0.61
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,452.8,292.5,70.4,13.7,0.67
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,1,No Drafter (Autoregressive),30,444.3,91.5,50.7,19.6,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,1,bigcode/tiny_starcoder_py,30,473.6,99.7,41.2,23.8,1.21
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,1,codellama/CodeLlama-7b-Instruct-hf,30,467.5,158.6,62.5,15.4,0.78
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_02-10-28_d8c80fe,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,474.2,180.7,48.8,20.4,1.04
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,0,No Drafter (Autoregressive),30,451.6,91.4,51.9,19.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,0,bigcode/tiny_starcoder_py,30,454.2,113.2,43.8,22.5,1.17
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,0,codellama/CodeLlama-7b-Instruct-hf,30,455.6,255.9,77.0,12.4,0.65
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,452.8,292.5,71.4,13.4,0.7
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,1,No Drafter (Autoregressive),30,457.5,89.2,51.0,19.6,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,1,bigcode/tiny_starcoder_py,30,462.0,88.0,36.3,27.2,1.39
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,1,codellama/CodeLlama-7b-Instruct-hf,30,465.3,141.7,69.8,13.9,0.71
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-29-56_17d3c65,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,462.5,164.6,42.8,22.0,1.13
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,0,No Drafter (Autoregressive),30,450.1,43.7,32.4,30.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,0,bigcode/tiny_starcoder_py,30,453.6,49.6,30.8,32.0,1.04
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,0,codellama/CodeLlama-7b-Instruct-hf,30,453.9,153.0,59.7,16.1,0.52
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,450.1,165.5,51.7,18.9,0.61
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,1,No Drafter (Autoregressive),30,459.4,43.6,32.6,30.6,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,1,bigcode/tiny_starcoder_py,30,451.2,56.0,30.0,33.1,1.08
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,1,codellama/CodeLlama-7b-Instruct-hf,30,466.8,83.6,44.4,22.4,0.73
